zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,dividendRate,exDividendDate,beta,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,marketCap,averageVolume,priceToSalesTrailing12Months,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,sharesOutstanding,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,dateShortInterest,pegRatio,shortPercentOfFloat,sharesShortPriorMonth,regularMarketPrice
98052,Technology,144000,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); and Skype, Outlook.com, and OneDrive. It also provides LinkedIn that includes Talent and marketing solutions, and subscriptions; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, large organizations, and divisions of enterprises. Its Intelligent Cloud segment licenses SQL and Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also provides support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on various Microsoft products. Its More Personal Computing segment offers Windows OEM licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also provides Microsoft Surface, PC accessories, and other intelligent devices; Gaming, including Xbox hardware, and Xbox software and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. It sells its products through distributors and resellers; and directly through digital marketplaces, online stores, and retail stores. It has strategic partnerships with Humana Inc., Nokia, Telkomsel, Swiss Re, and Kubota Corporation. The company was founded in 1975 and is headquartered in Redmond, Washington.",Redmond,425-882-8080,WA,United States,http://www.microsoft.com,1,One Microsoft Way,425-706-7329,Software—Infrastructure,177.04,179.5,156.41122,0.010957976,0.32930002,180,48338514,177.04,157.29028,1.94,179.5,48338514,2.04,1589932800,0.962017,175.89,2,USD,31.109564,52765625,1.35844E+12,54760364,10.1188135,175.89,177.71,900,52765625,190.7,28.899677,1.97,119.01,177.77,FALSE,0.0115,1000,180,NMS,Microsoft Corporation,Microsoft Corporation,America/New_York,EDT,FALSE,-14400000,EQUITY,MSFT,finmb_21835,us_market,9.68,0.33016,21.211,0.4431157,6.18,7606049792,14.467,58762671,0.0077,1561852800,0.74272,44323000320,5.741,-0.011489093,12.345338,0.01421,1625011200,1577750400,0.8,1582848000,7494998724,1.29949E+12,1045526400,2:01,0.383,1585612800,2.23,0.0077,37031775,179.5
78946,Technology,19361,"Dassault Systèmes SE provides software solutions and services in Europe, Americas, and Asia. The company offers SOLIDWORKS design software for 3D design, electrical and printed circuit board design, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design (CAD); GEOVIA, which models and simulates the earth; and BIOVIA that provides the scientific community with advanced biological, chemical, and materials experiences. It also provides SIMULIA delivers realistic simulation applications; DELMIA enables industries and services to collaborate, model, optimize, and perform their operations; 3DVIA that provides 3D space planning solutions for enterprises and consumers; and ENOVIA that offers collaborative technical and business applications. In addition, the company offers Centric PLM, a product lifecycle management software solution; 3DEXCITE software, solutions, and CGI services; EXALEAD that provides information intelligence for the social industry and developer community; NETVIBES dashboard, which enables insights-driven decision-making; and MEDIDATA, power smarter treatments for healthier people. Further, it provides consulting services in methodology for design, deployment, and support; and training and engineering services. The company primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences; energy, process, and utilities; consumer goods and retail; architecture, engineering, and construction; consumer packaged goods and retail, and marine and offshore through direct sales force and value-added resellers. Dassault Systèmes SE has a collaborative research agreement with the U.S. Food and Drug Administration. The company was founded in 1981 and is headquartered in Vélizy-Villacoublay, France.",Velizy-Villacoublay,33 1 61 62 61 62,,France,http://www.3ds.com,1,10 rue Marcel Dassault,33 1 70 73 43 63,Software—Application,150.99,151.26,155.69435,0.004477118,0.2811,151.37,23414,150.99,141.76343,0.676,151.26,23414,0.73,1558656000,0.714893,148.83,2,USD,59.09375,14658,39305568256,20988,,148.83,0,0,14658,181.2,45.293415,0.56,113.37,0,FALSE,0.0048,0,151.37,PNK,DASSAULT SYSTEMES,Dassault Systemes SE,America/New_York,EDT,FALSE,-14400000,EQUITY,DASTY,finmb_355361,us_market,,0.15313,,-0.012274802,3.34,258947008,19.366,59472,0,1577750400,0.00256,,2.56,-0.011489093,7.811629,0,1640908800,1577750400,0.23,1221436800,132126857,39336685568,1406073600,2:01,-0.101,1224028800,,,68052,151.26
95002,Technology,61600,"Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data from edge to cloud. The company offers industry standard servers for multi-workload computing; mission-critical servers; storage solutions; and solutions for secondary workloads and traditional tape, storage networking, and disk products, such as HPE MSA and HPE XP. It also provides mobility and Internet of Things solutions under the Aruba brand, which include wired and wireless local area network products, such as Wi-Fi access points, switches, routers, and sensors; software products, such as cloud-based management, network management, network access control, analytics and assurance, and location services; and professional and support services, as well as as-a-service and consumption models for the intelligent edge portfolio of products. In addition, the company offers various flexible investment solutions, which comprise leasing, financing, IT consumption, and utility programs and asset management services for customers to facilitate unique technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others. Further, it invests in communications and media solutions, Hewlett Packard labs, and various business incubation projects. The company serves commercial and large enterprise groups, including business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms. Hewlett Packard Enterprise Company was founded in 1939 and is headquartered in San Jose, California.",San Jose,650-687-5817,CA,United States,http://www.hpe.com,1,6280 America Center Drive,,Communication Equipment,9.32,9.49,14.148189,0.049141634,0.514,9.8,10262585,9.32,10.098857,0.458,9.49,10262585,0.48,1583798400,1.533869,9.47,2,USD,10.88565,8964853,12509780992,11642293,0.43846276,9.47,9.71,3000,8964853,17.59,5.7797623,,7.43,9.68,FALSE,0.0504,4000,9.8,NYQ,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,America/New_York,EDT,FALSE,-14400000,EQUITY,HPE,finmb_273983758,us_market,0.856,0.04223,4.723,-0.41470766,1.68,1288339968,13.295,28808716,0.0224,1572480000,0.85682,1204999936,0.892,-0.011489093,0.7303498,0.00253,1635638400,1580428800,1.84,1582848000,1285120818,24413798400,1504224000,1289:1000,0.881,1585612800,1.24,0.025799999,43234907,9.49
95134,Technology,75900,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. It provides infrastructure platforms, including networking technologies of switching, routing, wireless, and data center products that are designed to work together to deliver networking capabilities, and transport and/or store data. The company also offers collaboration products comprising unified communications, Cisco TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, it provides security products, such as network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products; and cloud and system management products. Further, the company offers a range of service and support options for its customers, including technical support and advanced services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. was founded in 1984 and is headquartered in San Jose, California.",San Jose,408-526-4000,CA,United States,http://www.cisco.com,1,170 West Tasman Drive,408-853-3683,Communication Equipment,41.5,42.25,44.829132,0.03373494,0.5447,42.63,24007400,41.5,39.112858,1.4,42.25,24007400,1.44,1585785600,1.006548,41.74,2,USD,16.567863,29318690,1.80153E+11,32427443,3.4947155,41.74,42.47,1200,29318690,58.26,13.40063,2.97,32.4,42.25,FALSE,0.0347,1400,42.63,NMS,"Cisco Systems, Inc.","Cisco Systems, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,CSCO,finmb_19691,us_market,3.22,0.21443,10.244,-0.24600643,3.17,4240880128,8.378,34790293,0.0082,1564185600,0.74334,11054000128,2.564,-0.011489093,5.070422,0.00044,1627344000,1579910400,0.77,1582848000,4237869136,1.66006E+11,953769600,2:01,0.02,1585612800,2.52,0.0082,37896806,42.25
94903,Technology,10100,"Autodesk, Inc. operates as a design software and services company worldwide. The company offers AutoCAD, a professional design, drafting, detailing, and visualization software; AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; AutoCAD LT, a professional drafting and detailing software; BIM 360, a construction management cloud-based software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections software products for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time. In addition, the company offers Revit software for building information modeling; and Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry. Autodesk, Inc. sells its products and services to customers directly, as well as through distributors and resellers. The company was founded in 1982 and is headquartered in San Rafael, California.",San Rafael,415-507-5000,CA,United States,http://www.autodesk.com,1,111 McInnis Parkway,415-507-5100,Software—Application,171,176.08,171.34029,,0,181.99,2411514,171,159.40971,,176.08,2411514,,1111449600,1.61624,173.97,2,USD,188.47917,2357706,39720128512,2422232,12.130877,173.97,191.7,900,2357706,211.58,30.929916,,125.38,180.5,FALSE,,1100,181.99,NMS,"Autodesk, Inc.","Autodesk, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,ADSK,finmb_119902,us_market,12.345,0.065510005,86.425,0.0510602,5.85,219520992,-0.634,3878576,0.0177,1580428800,0.97032,214500000,0.96,-0.011489093,,0.00147,1643587200,1580428800,1.15,1582848000,219093358,40421105664,1103587200,2:01,1.037,1585612800,0.5,0.0197,3967100,176.08
1800,Consumer Defensive,291000,"Nestlé S.A., together with its subsidiaries, operates as a food and beverage company. The company operates through Zone Europe, Middle East and North Africa; Zone Americas; Zone Asia, Oceania and sub-Saharan Africa; and Nestlé Waters segments. It offers baby foods under the Cerelac, Gerber, and NaturNes brands; bottled water under the Nestlé Pure Life, Perrier, Poland Spring, and S.Pellegrino brands; cereals under the Fitness, Nesquik, cheerios, and Lion Cereals brands; and chocolate and confectionery products under the KitKat, Nestle L'atelier, Nestle Toll House, Milkybar, Smarties, Quality Street, Aero, Garoto, Orion, and Cailler brands. The company also provides coffee products under the Nescafé original, Nespresso, Nescafé Dolce Gusto, Nescafé, Nescafé Original 3 in 1, Coffee-Mate, Nescafé Gold, and Nescafé Cappuccino brands; culinary, chilled, and frozen foods under the Maggi, Hot Pockets, Stouffer's, Thomy, Jacks, TombStone, Buitoni, DiGiorno, and Lean Cuisine brands; dairy products under the Carnation, Nido, Coffee-Mate, and La Laitière brands; and drinks under the Nesquik, Nestea, and Milo brands. In addition, it offers food service products under the Milo, Nescafé, Maggi, Chef, Nestea, Stouffer's, Chef-Mate, Sjora, Minor's, and Lean Cuisine brand names; healthcare nutrition products under the Boost, Peptamen, Resource, and Nutren Junior brands; ice cream products under the Dreyer's, Mövenpick, Häagen-Dazs, Nestlé Ice Cream, and Extrême brands; and pet care products under the Purina, ONE, Alpo, Felix, Pro Plan, Cat Chow, Fancy Feast, Chef Michael's, Bakers, Friskies, Dog Chow, Beneful, and Gourmet brands. Further, it provides coffee creamers under the Starbucks brand. The company was founded in 1866 and is headquartered in Vevey, Switzerland.",Vevey,41 21 924 21 11,,Switzerland,http://www.nestle.com,1,Avenue Nestle 55,,Packaged Foods,108.47,109.36,106.06471,0.021858579,0.5747,110.54,394900,108.47,102.99771,2.371,109.36,394900,2.76,1587945600,0.296048,108.97,2,USD,41.121914,377774,3.16255E+11,884546,,108.97,0,0,377774,114.87,,2.82,88,0,FALSE,0.0254,0,110.54,PNK,NESTLE SA,Nestle S.A.,America/New_York,EDT,FALSE,-14400000,EQUITY,NSRGY,finmb_31973,us_market,,0.13578,,0.16016042,,2880029952,18.551,,,1577750400,0.02836,,2.674,-0.011489093,5.927443,8.00E-05,1640908800,1577750400,,,2877342196,3.12399E+11,1215043200,25:10:00,0.772,,,,,109.36
97005,Consumer Cyclical,76700,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, and accessories worldwide. The company offers NIKE brand products in six categories, including running, NIKE basketball, the Jordan brand, football, training, and sportswear. It also markets products designed for kids, as well as for other athletic and recreational uses, such as American football, baseball, cricket, golf, lacrosse, skateboarding, tennis, volleyball, walking, wrestling, and other outdoor activities; and apparel with licensed college and professional team and league logos, as well as sells sports apparel. In addition, the company sells a line of performance equipment and accessories comprising bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, and other equipment for sports activities; and various plastic products to other manufacturers. Further, it provides athletic and casual footwear, apparel, and accessories under the Jumpman trademark; casual sneakers, apparel, and accessories under the Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks; and action sports and youth lifestyle apparel and accessories under the Hurley trademark. Additionally, the company licenses agreements that permit unaffiliated parties to manufacture and sell apparel, digital devices, and applications and other equipment for sports activities under NIKE-owned trademarks. It sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives. The company was formerly known as Blue Ribbon Sports, Inc. and changed its name to NIKE, Inc. in 1971. NIKE, Inc. was founded in 1964 and is headquartered in Beaverton, Oregon.",Beaverton,503 671 6453,OR,United States,http://www.nike.com,1,One Bowerman Drive,,Footwear & Accessories,86.3,89,92.85478,0.010776361,0.3432,90.25,7345428,86.3,81.612854,0.93,89,7345428,0.98,1582848000,0.820563,88.36,2,USD,33.18937,7899772,1.39813E+11,10394166,3.3874292,88.36,90,800,7899772,105.62,32.34173,1.08,60,89.71,FALSE,0.0114,1400,90.25,NYQ,"Nike, Inc.","NIKE, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,NKE,finmb_291981,us_market,3.472,0.10462,24.452,0.029189587,2.78,1240019968,5.817,11959061,0.0077,1559260800,0.84726,4318000128,2.709,-0.011489093,15.456422,0.01174,1622419200,1582934400,0.76,1582848000,1225507324,1.43287E+11,1450915200,2:01,-0.231,1585612800,3.3,0.013300001,10526359,89
30301,Consumer Defensive,86200,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; water, enhanced water, and sports drinks; juice, dairy, and plantbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, Dasani, glacéau smartwater, glacéau vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, ZICO, Ayataka, Costa, dogadan, FUZE TEA, Georgia, Gold Peak, HONEST TEA, and Kochakaden brands. It operates through a network of company-owned or controlled bottling and distribution operators, as well as through independent bottling partners, distributors, wholesalers, and retailers. The company was founded in 1886 and is headquartered in Atlanta, Georgia.",Atlanta,404 676 2121,GA,United States,http://www.coca-colacompany.com,1,One Coca-Cola Plaza,,Beverages—Non-Alcoholic,47.1,48.3,53.24594,0.033970278,0.7729,48.3,18543114,47.1,47.44743,1.6,48.3,18543114,1.64,1584057600,0.603798,47.37,2,USD,23.217392,19097703,2.06341E+11,20866230,5.536972,47.37,48.1,3100,19097703,60.13,21.64865,3.19,36.27,48,FALSE,0.0348,2200,48.3,NYQ,Coca-Cola Company (The),The Coca-Cola Company,America/New_York,EDT,FALSE,-14400000,EQUITY,KO,finmb_26642,us_market,6.475,0.23936,20.125,0.013924003,2.22,4293400064,4.435,28535432,0.0066,1577750400,0.70734,8920000512,2.07,-0.011489093,10.836528,0.00696,1640908800,1577750400,0.91,1582848000,4256425789,2.41299E+11,1344816000,2:01,1.347,1585612800,5.14,0.0067,34548949,48.3
91074,Consumer Cyclical,53218,"adidas AG, together with its subsidiaries, designs, develops, produces, and markets athletic and sports lifestyle products worldwide. The company operates in 10 segments: Europe, North America Adidas, North America Reebok, Asia-Pacific, Russia/CIS, Latin America, Emerging Markets, Adidas Golf, Runtastic, and Other Centrally Managed Businesses. It offers footwear; apparel; and hardware, such as bags, balls, and fitness equipment under the adidas and Reebok brands. The company is also involved in the operation of Runtastic, a digital health and fitness space; and Y-3 label business activities. It sells its products through approximately 2,500 own-retail stores; 15,000 mono-branded franchise stores; and 150,000 wholesale doors, as well as its e-commerce channel. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany.",Herzogenaurach,49 91 32 84 0,,Germany,http://www.adidas-group.com,1,Adi-Dassler-Strasse 1,49 91 32 84 22 41,Footwear & Accessories,115.17,119.47,146.42479,0.026300253,0.34849998,120,65171,115.17,114.88371,3.029,119.47,65171,1.88,1557446400,0.881458,117.96,2,USD,26.9451,73220,47130357760,111114,,117.96,0,0,73220,176.36,10.685664,1.33,87.65,0,FALSE,0.0163,0,120,PNK,ADIDAS AG,adidas AG,America/New_York,EDT,FALSE,-14400000,EQUITY,ADDYY,finmb_92816,us_market,,0.08359,,-0.083619654,11.23,391939008,18.879,,,1577750400,0.00157,,4.4535,-0.011489093,6.356269,0,1640908800,1577750400,,,344721910,47032651776,1150156800,4:01,0.546,,1.9,,,119.47
,,,,,,,,,1,,,,82.26,82.98,76.11784,,,86.06,99072,82.26,77.92333,,82.98,99072,,,,82.98,2,EUR,,10131,,154784,,82.98,86.04,0,10131,93.0427,,,60.32,83.9,FALSE,,0,86.06,IOB,UCB SA UCB ORD SHS,,Europe/London,BST,FALSE,3600000,EQUITY,0NZT.IL,,gb_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.98
